file	target_mod	use_count
agents/agent.rs	providers	12
agents/agent.rs	config	4
agents/agent_registry.rs	config	2
agents/ask_router.rs	channels	1
agents/attachment.rs	providers	1
agents/commands/config.rs	config	1
agents/commands/friends.rs	channels	3
agents/context_engine.rs	providers	3
agents/context_engine.rs	config	1
agents/context_engine.rs	storage	1
agents/delegation_coordinator.rs	config	2
agents/delegation_coordinator.rs	ids	2
agents/llm_stream.rs	providers	2
agents/mcp_manager.rs	config	1
agents/mcp_manager.rs	mcp	1
agents/media_e2e_test.rs	config	6
agents/media_e2e_test.rs	providers	5
agents/media_e2e_test.rs	registry	4
agents/memory_distill.rs	providers	6
agents/memory_fork.rs	providers	6
agents/orchestrator/ctx.rs	channels	1
agents/orchestrator/delegation.rs	channels	1
agents/orchestrator/inbound.rs	channels	1
agents/orchestrator/inbound.rs	storage	1
agents/orchestrator/mod.rs	channels	2
agents/orchestrator/mod.rs	providers	2
agents/orchestrator/mod.rs	storage	1
agents/orchestrator/recovery.rs	channels	3
agents/orchestrator/recovery.rs	config	2
agents/orchestrator/recovery.rs	storage	1
agents/orchestrator/scheduled.rs	channels	1
agents/orchestrator/test_support.rs	channels	4
agents/orchestrator/test_support.rs	providers	1
agents/orchestrator/turn.rs	providers	1
agents/prompt.rs	str_utils	1
agents/runtime.rs	config	1
agents/runtime.rs	providers	1
agents/runtime.rs	tools	1
agents/scheduling/cron_loader.rs	str_utils	2
agents/scheduling/cron_loader.rs	config	1
agents/scheduling/scheduler.rs	channels	3
agents/scheduling/scheduler.rs	config	1
agents/scheduling/work_unit.rs	providers	3
agents/session/backend.rs	storage	4
agents/session/backend.rs	providers	1
agents/session/manager.rs	storage	2
agents/session/manager.rs	config	1
agents/session/manager.rs	providers	1
agents/session/recovery.rs	providers	1
agents/session/session_override.rs	providers	3
agents/session/types.rs	channels	4
agents/session/types.rs	providers	4
agents/session_context.rs	providers	4
agents/session_context.rs	channels	2
agents/skill_extract.rs	providers	9
agents/skill_extract.rs	channels	2
agents/tokens.rs	providers	4
agents/tool_executor.rs	channels	4
agents/tool_executor.rs	providers	2
agents/tool_executor.rs	config	1
agents/tool_registry.rs	providers	1
agents/turn.rs	config	2
agents/turn.rs	providers	2
agents/user_messages.rs	providers	7
agents/user_registry.rs	ids	3
agents/workspace/agent_loader.rs	str_utils	3
agents/workspace/agent_loader.rs	config	2
agents/workspace/skill_loader.rs	str_utils	1
channels/client.rs	agents	6
channels/client.rs	providers	3
channels/client.rs	config	1
channels/qqbot/channel.rs	config	3
channels/telegram/channel.rs	agents	1
channels/telegram/channel.rs	config	1
channels/turn_stream.rs	agents	1
channels/wechat.rs	config	1
config/mod.rs	agents	1
config/mod.rs	providers	1
config/routing.rs	providers	1
daemon.rs	providers	6
daemon.rs	config	5
daemon.rs	agents	2
daemon.rs	channels	1
migration.rs	ids	7
providers/capability_tool.rs	agents	1
providers/provider_factory.rs	config	1
registry/mod.rs	providers	15
registry/routing.rs	providers	1
storage/inbound_spool.rs	channels	5
storage/json_file.rs	ids	5
storage/json_file.rs	providers	2
tools/agent_kill.rs	agents	3
tools/agent_kill.rs	providers	2
tools/agent_kill.rs	str_utils	2
tools/agent_list.rs	providers	2
tools/agent_list.rs	agents	1
tools/agent_resume.rs	providers	2
tools/agent_resume.rs	agents	1
tools/agent_resume.rs	storage	1
tools/agent_resume.rs	str_utils	1
tools/ask_user.rs	channels	3
tools/ask_user.rs	providers	2
tools/ask_user.rs	agents	1
tools/calculator.rs	providers	2
tools/cronjob_tool.rs	agents	5
tools/cronjob_tool.rs	providers	2
tools/delegate.rs	providers	2
tools/delegate.rs	agents	1
tools/file_ops.rs	providers	2
tools/file_ops.rs	str_utils	1
tools/friends.rs	agents	8
tools/friends.rs	channels	3
tools/friends.rs	ids	3
tools/friends.rs	providers	2
tools/hear_audio.rs	providers	5
tools/hear_audio.rs	agents	1
tools/http.rs	providers	2
tools/list_dir.rs	providers	2
tools/memory_tool.rs	memory	3
tools/memory_tool.rs	agents	2
tools/memory_tool.rs	providers	2
tools/memory_tool_tests.rs	agents	2
tools/memory_tool_tests.rs	providers	1
tools/mod.rs	providers	1
tools/search.rs	providers	2
tools/search_cooldown.rs	providers	2
tools/send_message.rs	agents	3
tools/send_message.rs	ids	3
tools/send_message.rs	providers	2
tools/send_message.rs	channels	1
tools/session_query.rs	agents	2
tools/session_query.rs	providers	2
tools/session_query.rs	storage	2
tools/session_query.rs	str_utils	1
tools/sessions_yield.rs	providers	2
tools/sessions_yield.rs	agents	1
tools/shell.rs	providers	2
tools/shell_env.rs	config	1
tools/skill_manage_tool.rs	agents	3
tools/skill_manage_tool.rs	providers	2
tools/skill_tool.rs	agents	2
tools/skill_tool.rs	providers	2
tools/skills_list_tool.rs	agents	2
tools/skills_list_tool.rs	providers	2
tools/symbol_check.rs	providers	2
tools/task.rs	ids	4
tools/task.rs	providers	2
tools/tool_search.rs	agents	2
tools/tool_search.rs	providers	2
tools/view_image.rs	providers	5
tools/view_image.rs	agents	1
tools/view_video.rs	providers	5
tools/view_video.rs	agents	1
tools/web_search.rs	providers	5
